Hour,Baseline (kWh),New HP
853,2.938181,2.520123
854,3.178234,2.816287
855,3.056147,2.762273
856,2.059263,1.697635
857,2.254261,1.8908969999999998
858,2.7694270000000003,2.263412
859,3.088645,2.704645
860,2.590602,2.249027
861,3.0551040000000005,2.685106
862,3.069096,2.719319
863,2.332227,2.055839
864,2.5743,2.009388
865,2.191618,1.8328030000000002
866,2.3091570000000003,1.850914
867,2.355039,1.899604
868,2.341088,1.8213
869,2.5738220000000003,1.973969
870,2.55144,2.07755
871,3.616066,3.144265
872,3.038087,2.494014
873,3.699938,3.40448
874,5.652618,5.182502
875,6.354235,5.695219
876,2.924288,2.419515
877,2.702435,2.23343
878,2.314383,1.878517
879,2.787344,2.432989
880,2.051612,1.733329
881,1.959639,1.6962899999999999
882,2.8111260000000002,2.354957
883,2.303623,2.005626
884,2.8377820000000002,2.484352
885,2.254739,1.9801549999999999
886,2.830931,2.447274
887,3.180159,2.815968
888,1.9703989999999998,1.683266
889,2.338205,1.775433
890,2.6418530000000002,2.18639
891,2.19433,1.728558
892,2.3227260000000003,1.8756410000000001
893,2.203272,1.8491
894,2.833625,2.3398980000000003
895,7.933277,7.458969
896,6.011881,5.42203
897,2.59295,2.217426
898,2.984848,2.31168
899,3.440533,2.928634
900,3.402666,2.856352
901,2.29136,1.898635
902,2.185741,1.840547
903,2.235325,1.8056679999999998
904,2.675373,2.185388
905,2.584756,2.246025
906,2.7349580000000002,2.160574
907,5.250567,4.917696
908,7.618889,7.382479
909,3.7337249999999997,3.4205520000000003
910,4.0039050000000005,3.656458
911,2.064138,1.768119
912,1.994838,1.523268
913,2.120879,1.77521
914,1.780888,1.35542
915,1.774254,1.335454
916,1.775855,1.3288989999999998
917,2.230966,1.797402
918,1.899,1.335635
919,2.161265,1.569375
920,2.479363,2.0212909999999997
921,2.006205,1.614029
922,2.103962,1.671228
923,2.676615,2.1578939999999998
924,3.7432,3.368024
925,1.94546,1.5838130000000001
926,1.808249,1.480055
927,1.705835,1.4155
928,1.635553,1.407988
929,1.933071,1.547557
